2026-02-23 20:55:24 | 수정 | config.py (report_app/)
2026-02-23 20:56:28 | 신규 생성 | syntax_check.py (scripts/)
2026-02-23 20:56:33 | 신규 생성 | auto_pip_install.py (scripts/)
2026-02-23 20:56:42 | 신규 생성 | session_end_summary.py (scripts/)
2026-02-23 20:59:01 | 신규 생성 | import_check.py (scripts/)
2026-02-23 20:59:17 | 신규 생성 | dependency_check.py (scripts/)
2026-02-23 20:59:36 | 신규 생성 | smoke_test.py (scripts/)
2026-02-23 21:00:44 | 수정 | smoke_test.py (scripts/)
2026-02-23 21:08:59 | 신규 생성 | app.py (report_app/)
2026-02-23 21:13:23 | 수정 | app.py (report_app/) — v3.0 UI/UX 전면 리디자인
2026-02-23 21:22:13 | 수정 | backup_on_edit.py (scripts/) — Windows 한글 경로 인코딩 수정
2026-02-23 21:22:18 | 수정 | log_change.py (scripts/) — Windows 한글 경로 인코딩 수정
2026-02-23 21:22:18 | 수정 | syntax_check.py (scripts/) — stdin 인코딩 수정
2026-02-23 21:22:18 | 수정 | import_check.py (scripts/) — stdin 인코딩 수정
2026-02-23 21:22:18 | 수정 | dependency_check.py (scripts/) — stdin 인코딩 수정
2026-02-23 21:22:18 | 수정 | smoke_test.py (scripts/) — stdin 인코딩 수정
2026-02-23 21:22:18 | 수정 | auto_pip_install.py (scripts/) — stdin 인코딩 수정
2026-02-23 21:26:15 | 수정 | app.py (report_app/)
2026-02-23 21:26:24 | 수정 | app.py (report_app/)
2026-02-23 21:26:29 | 수정 | app.py (report_app/)
2026-03-02 19:47:02 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-02 19:47:15 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-02 19:56:08 | 수정 | app.py (report_app/)
2026-03-02 19:56:15 | 수정 | app.py (report_app/)
2026-03-02 20:23:30 | 수정 | chart_generator.py (report_app/)
2026-03-02 20:24:24 | 신규 생성 | build_windows.py (windows/)
2026-03-02 20:25:48 | 신규 생성 | create_icon.py (windows/)
2026-03-03 00:20:44 | 수정 | config.py (report_app/)
2026-03-03 00:20:48 | 수정 | app.py (report_app/)
2026-03-03 00:20:48 | 수정 | app.py (report_app/)
2026-03-03 00:20:55 | 수정 | app.py (report_app/)
2026-03-03 00:20:57 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-03 00:46:06 | 수정 | config.py (report_app/)
2026-03-03 00:46:16 | 수정 | app.py (report_app/)
2026-03-03 00:46:25 | 수정 | app.py (report_app/)
2026-03-03 00:46:44 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-03 00:49:14 | 수정 | config.py (report_app/)
2026-03-03 00:49:22 | 수정 | app.py (report_app/)
2026-03-03 00:49:27 | 수정 | app.py (report_app/)
2026-03-03 00:49:35 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-03 00:49:51 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-03 00:50:01 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-03 00:50:16 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-04 10:36:16 | 수정 | build_windows.py (windows/)
2026-03-04 10:36:28 | 수정 | build_windows.py (windows/)
2026-03-07 10:37:14 | 수정 | config.py (report_app/)
2026-03-07 10:38:03 | 수정 | data_loader.py (report_app/)
2026-03-07 10:38:06 | 수정 | app.py (report_app/)
2026-03-07 10:38:08 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-07 10:38:16 | 수정 | app.py (report_app/)
2026-03-07 10:38:23 | 수정 | chart_generator.py (report_app/)
2026-03-07 10:38:25 | 수정 | app.py (report_app/)
2026-03-07 10:38:29 | 수정 | chart_generator.py (report_app/)
2026-03-07 10:38:36 | 수정 | app.py (report_app/)
2026-03-07 10:38:38 | 수정 | 전임교원_연구실적_전처리.py (IR센터 MCP/)
2026-03-07 10:38:43 | 수정 | app.py (report_app/)
2026-03-07 10:39:19 | 수정 | app.py (report_app/)
2026-03-07 10:39:25 | 수정 | app.py (report_app/)
2026-03-07 10:39:49 | 수정 | app.py (report_app/)
2026-03-07 10:39:58 | 수정 | app.py (report_app/)
2026-03-07 10:40:02 | 수정 | app.py (report_app/)
2026-03-07 10:40:07 | 수정 | app.py (report_app/)
2026-03-07 10:40:43 | 수정 | app.py (report_app/)
2026-03-07 10:46:57 | 수정 | app.py (report_app/)
2026-03-07 12:05:40 | 신규 생성 | test_e2e.py (IR센터 MCP/)
2026-03-07 12:14:30 | 수정 | app.py (report_app/)
2026-03-08 17:15:17 | 신규 생성 | e2e_test_full.py (IR센터 MCP/)
2026-03-08 17:33:17 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:33:29 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:33:35 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:33:41 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:52:21 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:52:25 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:52:30 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:52:34 | 수정 | chart_generator.py (report_app/)
2026-03-08 17:54:03 | 수정 | app.py (report_app/)
2026-03-08 17:54:12 | 수정 | app.py (report_app/)
2026-03-08 17:54:25 | 수정 | app.py (report_app/)
2026-03-08 17:54:31 | 수정 | app.py (report_app/)
2026-03-08 17:54:37 | 수정 | app.py (report_app/)
2026-03-08 17:54:41 | 수정 | app.py (report_app/)
2026-03-08 18:20:31 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:20:45 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:20:57 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:21:06 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:21:22 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:21:34 | 수정 | chart_generator.py (report_app/)
2026-03-08 18:22:50 | 수정 | app.py (report_app/)
2026-03-08 18:24:48 | 수정 | app.py (report_app/)
2026-03-08 18:24:58 | 수정 | app.py (report_app/)
2026-03-08 18:25:04 | 수정 | app.py (report_app/)
2026-03-08 18:25:10 | 수정 | app.py (report_app/)
2026-03-08 18:25:22 | 수정 | app.py (report_app/)
2026-03-08 18:25:36 | 수정 | app.py (report_app/)
2026-03-08 18:25:57 | 수정 | app.py (report_app/)
2026-03-08 18:26:03 | 수정 | app.py (report_app/)
2026-03-08 18:26:44 | 수정 | app.py (report_app/)
2026-03-08 18:26:49 | 수정 | app.py (report_app/)
2026-03-08 18:26:57 | 수정 | app.py (report_app/)
2026-03-08 18:31:12 | 수정 | app.py (report_app/)
2026-03-08 18:31:26 | 수정 | app.py (report_app/)
2026-03-08 18:31:40 | 수정 | app.py (report_app/)
2026-03-08 18:31:46 | 수정 | app.py (report_app/)
2026-03-08 18:31:52 | 수정 | app.py (report_app/)
