연도,학교명,전임교원수,SCI/SCOPUS논문수,1인당논문수,전국순위
2023,포항공과대학교,284,308.4781,1.0862,1
2023,성균관대학교,1520,1540.9736,1.0138,2
2023,연세대학교,1746,1653.0366,0.9468,3
2023,영남대학교,924,808.2646,0.8747,4
2023,고려대학교,1525,1277.916,0.838,5
2023,가천대학교,938,779.5843,0.8311,6
2023,한양대학교,1150,911.6363,0.7927,7
2023,경희대학교,1396,1005.5666,0.7203,8
2023,중앙대학교,1151,804.5996,0.699,9
2023,동국대학교,681,468.6421,0.6882,10
2023,가톨릭대학교,1266,860.4970000000001,0.6797,11
2023,아주대학교,746,501.8563,0.6727,12
2023,건국대학교,623,409.6728,0.6576,13
2023,울산대학교,1100,694.2534,0.6311,14
2023,인하대학교,890,503.2652,0.5655,15
2023,한양대학교(ERICA),407,227.8656,0.5599,16
2023,한림대학교,748,384.9025,0.5146,17
2023,이화여자대학교,981,486.4614,0.4959,18
2023,연세대학교(미래),396,194.822,0.492,19
2023,광운대학교,323,153.3947,0.4749,20
2023,숭실대학교,507,240.1072,0.4736,21
2023,한국기술교육대학교,188,88.7992,0.4723,22
2023,순천향대학교,945,395.8607,0.4189,23
2023,고려대학교(세종),259,100.9448,0.3897,24
2023,조선대학교,766,289.1747,0.3775,25
2023,인제대학교,937,330.7655,0.353,26
2023,단국대학교,1020,356.7428,0.3497,27
2023,한국항공대학교,165,57.0489,0.3458,28
2023,상명대학교,481,163.5442,0.34,29
2023,차의과학대학교,482,163.8206,0.3399,30
2023,건국대학교(글로컬),419,139.8549,0.3338,31
2023,국민대학교,663,215.5947,0.3252,32
2023,경기대학교,516,164.7779,0.3193,33
2023,홍익대학교,721,225.0168,0.3121,34
2023,계명대학교,844,260.4731,0.3086,35
2023,을지대학교,458,138.51309999999998,0.3024,36
2023,대구가톨릭대학교,570,158.7878,0.2786,37
2023,건양대학교,366,101.3997,0.277,38
2023,삼육대학교,215,59.4467,0.2765,39
2023,동국대학교(WISE),319,86.1562,0.2701,40
2023,동아대학교,779,190.5422,0.2446,41
2023,숙명여자대학교,422,102.7665,0.2435,42
2023,우송대학교,330,79.0407,0.2395,43
2023,한국외국어대학교,633,147.1118,0.2324,44
2023,원광대학교,703,154.5028,0.2198,45
2023,선문대학교,294,64.1521,0.2182,46
2023,한동대학교,149,31.5281,0.2116,47
2023,고신대학교,283,59.5674,0.2105,48
2023,창신대학교,81,15.662,0.1934,49
2023,서울여자대학교,232,42.7038,0.1841,50
2023,명지대학교,506,92.8654,0.1835,51
2023,전주대학교,360,63.1895,0.1755,52
2023,대구대학교,546,92.3226,0.1691,53
2023,덕성여자대학교,209,34.6725,0.1659,54
2023,청주대학교,368,60.9875,0.1657,55
2023,중부대학교,272,44.4252,0.1633,56
2023,경남대학교,412,66.8094,0.1622,57
2023,성신여자대학교,312,49.7344,0.1594,58
2023,화성의과학대학교,29,4.6222,0.1594,58
2023,가톨릭관동대학교,389,61.0929,0.1571,60
2023,부산가톨릭대학교,138,21.5844,0.1564,61
2023,대전대학교,315,47.8734,0.152,62
2023,안양대학교,190,28.767599999999998,0.1514,63
2023,한국공학대학교,256,36.9031,0.1442,64
2023,세명대학교,262,37.7485,0.1441,65
2023,세한대학교,121,17.225,0.1424,66
2023,한성대학교,265,36.9605,0.1395,67
2023,남서울대학교,317,43.7963,0.1382,68
2023,한남대학교,406,56.0883,0.1381,69
2023,우석대학교,291,39.9595,0.1373,70
2023,한서대학교,260,35.4512,0.1364,71
2023,광주여자대학교,127,16.3505,0.1287,72
2023,동명대학교,246,31.2537,0.127,73
2023,동의대학교,556,70.114,0.1261,74
2023,강서대학교,53,6.5452,0.1235,75
2023,상지대학교,254,30.4995,0.1201,76
2023,동덕여자대학교,223,25.967,0.1164,77
2023,영산대학교,218,24.3176,0.1115,78
2023,대진대학교,256,28.205,0.1102,79
2023,남부대학교,115,12.4467,0.1082,80
2023,동신대학교,249,26.5252,0.1065,81
2023,수원대학교,329,34.6665,0.1054,82
2023,극동대학교,133,13.5604,0.102,83
2023,동양대학교,139,13.9932,0.1007,84
2023,신라대학교,289,28.7054,0.0993,85
2023,신한대학교,225,22.3358,0.0993,85
2023,대구한의대학교,230,22.2615,0.0968,87
2023,경일대학교,262,24.2886,0.0927,88
2023,예수대학교,20,1.8429,0.0921,89
2023,서원대학교,231,20.7408,0.0898,90
2023,동서대학교,347,30.8116,0.0888,91
