연도,학교명,전임교원수,SCI/SCOPUS논문수,1인당논문수,충청권순위,전국순위
2023,한국기술교육대학교,188,88.7992,0.4723,1,22
2023,순천향대학교,945,395.8607,0.4189,2,23
2023,고려대학교(세종),259,100.9448,0.3897,3,24
2023,건국대학교(글로컬),419,139.8549,0.3338,4,31
2023,을지대학교,458,138.51309999999998,0.3024,5,36
2023,건양대학교,366,101.3997,0.277,6,38
2023,우송대학교,330,79.0407,0.2395,7,43
2023,선문대학교,294,64.1521,0.2182,8,46
2023,청주대학교,368,60.9875,0.1657,9,55
2023,중부대학교,272,44.4252,0.1633,10,56
2023,대전대학교,315,47.8734,0.152,11,62
2023,세명대학교,262,37.7485,0.1441,12,65
2023,남서울대학교,317,43.7963,0.1382,13,68
2023,한남대학교,406,56.0883,0.1381,14,69
2023,한서대학교,260,35.4512,0.1364,15,71
2023,극동대학교,133,13.5604,0.102,16,83
2023,서원대학교,231,20.7408,0.0898,17,90
2023,중원대학교,141,11.889,0.0843,18,93
2023,배재대학교,279,23.315,0.0836,19,94
2023,호서대학교,474,39.5487,0.0834,20,95
2023,목원대학교,276,17.3353,0.0628,21,102
2023,가톨릭꽃동네대학교,23,1.0679,0.0464,22,107
2023,나사렛대학교,173,5.9797,0.0346,23,113
2023,백석대학교,477,13.0143,0.0273,24,114
2023,유원대학교,116,1.3429,0.0116,25,120
2023,금강대학교,15,0.0,0.0,26,125
2024,순천향대학교,958,380.5486,0.3972,1,22
2024,을지대학교,433,154.2732,0.3563,2,26
2024,고려대학교(세종),260,91.8475,0.3533,3,27
2024,한국기술교육대학교,183,64.21,0.3509,4,28
2024,건국대학교(글로컬),408,124.9867,0.3063,5,32
2024,건양대학교,360,82.2872,0.2286,6,40
2024,우송대학교,300,63.6819,0.2123,7,43
2024,선문대학교,290,52.4166,0.1807,8,54
2024,한남대학교,388,59.7662,0.154,9,57
2024,한서대학교,247,36.5508,0.148,10,58
2024,세명대학교,251,35.0885,0.1398,11,59
2024,청주대학교,360,48.5495,0.1349,12,62
2024,중부대학교,253,33.3587,0.1319,13,66
2024,대전대학교,298,36.6294,0.1229,14,69
2024,호서대학교,457,50.664,0.1109,15,72
2024,중원대학교,129,14.12,0.1095,16,73
2024,극동대학교,118,12.369,0.1048,17,76
2024,남서울대학교,308,31.7406,0.1031,18,78
2024,가톨릭꽃동네대학교,24,2.3596,0.0983,19,82
2024,서원대학교,215,17.7347,0.0825,20,87
2024,목원대학교,269,18.2487,0.0678,21,96
2024,배재대학교,270,17.6883,0.0655,22,98
2024,나사렛대학교,166,3.8016,0.0229,23,115
2024,백석대학교,485,10.5088,0.0217,24,116
2024,유원대학교,116,0.1667,0.0014,25,125
2024,금강대학교,12,0.0,0.0,26,126
2025,한국기술교육대학교,184,83.1283,0.4518,1,19
2025,순천향대학교,942,379.401,0.4028,2,24
2025,고려대학교(세종),257,99.3509,0.3866,3,26
2025,건국대학교(글로컬),407,123.643,0.3038,4,34
2025,을지대학교,420,116.8944,0.2783,5,38
2025,우송대학교,334,69.6525,0.2085,6,44
2025,건양대학교,350,66.2783,0.1894,7,50
2025,선문대학교,280,47.4717,0.1695,8,55
2025,대전대학교,277,45.3546,0.1637,9,57
2025,한서대학교,229,37.0202,0.1617,10,58
2025,한남대학교,385,60.5538,0.1573,11,60
2025,중원대학교,123,19.3086,0.157,12,61
2025,세명대학교,231,34.6387,0.15,13,65
2025,청주대학교,441,60.8341,0.1379,14,70
2025,서원대학교,224,28.4065,0.1268,15,74
2025,호서대학교,432,51.0697,0.1182,16,77
2025,극동대학교,109,12.3106,0.1129,17,80
2025,남서울대학교,293,30.3521,0.1036,18,86
2025,목원대학교,264,23.851,0.0903,19,92
2025,중부대학교,350,29.0753,0.0831,20,94
2025,나사렛대학교,157,8.5737,0.0546,21,108
2025,배재대학교,254,13.1132,0.0516,22,109
2025,가톨릭꽃동네대학교,23,1.1,0.0478,23,111
2025,백석대학교,464,19.2437,0.0415,24,112
2025,유원대학교,111,1.75,0.0158,25,120
2025,금강대학교,13,0.0,0.0,26,128
